Date,Index,A,B,C,D,E,F,G,H,I
Jul-1991,0.1754,0.1,0.1,9.7,0.8,1.5,1.6,0.1,0.2,2.4
Aug-1991,0.0784,0,0,7.8,0.5,0,0.4,0.5,0.9,8.4
Sep-1991,-0.139,0.2,1,36,0.1,17.9,10.1,0.3,0.5,5.9
Oct-1991,-0.0599,0.6,2.6,43,0,23.4,12.1,0.1,4,16.9
Nov-1991,-0.2454,1.1,2.6,74.6,1,59.3,33.5,0.2,1.1,16.2
Dec-1991,-0.2881,1.1,3.5,81,0.1,34.7,20.7,0.2,4.5,34.1
Jan-1992,-0.0758,0,5.7,42.9,0.5,44,50,3.1,46.5,104.7
Feb-1992,0.0364,13,134.8,229.1,8.1,102.1,109.4,14.2,146.2,189
Mar-1992,0.1815,44.2,391.2,319.3,1.5,155.4,128.4,5.6,104.1,179.9
Apr-1992,0.3642,52,200.8,214,0.3,60.2,57.1,0.4,33,70.1
May-1992,0.8202,0,3,38.6,0,3.6,4.4,0,0.8,11.2
Jun-1992,1.3933,0,0.1,8.4,0.4,0.7,4.3,0.1,1.5,2.9
Jul-1992,1.2861,0,0.2,10.5,1.1,1.4,2.3,2.9,40.1,34.3
Aug-1992,1.2265,0,0.2,2.2,1.1,1.7,0.5,0.6,0.4,5.4
Sep-1992,1.2972,0,0.1,13.6,0.5,6.8,8.9,0.1,1,6.5
Oct-1992,1.2611,0.7,4.2,75.2,0.6,80.8,20,0.1,2.6,29.9
Nov-1992,1.3428,2.1,6,79.6,1.1,115.6,33.2,0.1,14.7,52.6
Dec-1992,1.1877,0.7,4.7,104,0.1,64.1,35,0.7,19.9,95.9
Jan-1993,0.5815,2.4,26.3,96,1,79.6,71.3,1,34.5,99.5
Feb-1993,0.7505,11.1,54.8,142.5,2.8,77.2,112.3,0.2,63,128.7
Mar-1993,0.6727,0.5,16,187.2,0.8,87,100.7,0.3,56.9,127.7
Apr-1993,0.105,0.5,3.3,101.2,0.4,32.9,24.2,0.1,5.5,20.8
May-1993,-0.6688,0.1,1.4,44.7,0.1,8.1,4.4,0.1,7.5,10.7
Jun-1993,-0.1678,1.1,1.1,31.4,0.2,2.5,0,0.1,0,0.6
Jul-1993,0.5314,0,0.3,7.3,0.4,1.7,1.2,0.5,0.2,0.7
Aug-1993,0.4653,0,0.1,3.9,0.6,1.7,0.7,0.4,1.8,4.4
Sep-1993,0.3843,0.2,0.3,15.2,0.5,1.1,1.3,0.4,0,7
Oct-1993,0.4818,0,0,27.1,0,8.3,10.5,0.1,0.4,5.5
Nov-1993,0.3674,3,2.3,43.8,0.1,15.1,5.3,0.1,0.1,8
Dec-1993,0.4083,1.1,10.6,85.7,2.1,77.4,84.9,0.1,16.6,71.4
Jan-1994,0.2874,2,24.4,89.6,0.2,33.6,22.1,2.4,73.9,158.4
Feb-1994,0.3199,1.3,28.1,149.7,1.3,80.3,99.2,4.3,82.9,134.7
Mar-1994,0.3316,4.3,25.8,139.6,1.3,52.9,70.1,0.2,45.6,95.6
Apr-1994,0.4452,1.4,26,121.3,0.1,43.4,23.6,0,12.8,30.5
May-1994,0.4318,0.4,3.9,43.5,0.1,3.1,0.7,0,0,0.6
Jun-1994,0.4878,0,0,9.9,0.6,2.7,3.4,0.1,0,1.1
Jul-1994,0.9301,1.3,1.4,18.2,1.7,0.5,5.7,1,13.5,15.7
Aug-1994,1.1017,0,0,1.8,0.5,1.6,2.4,0.6,1.8,10.7
Sep-1994,0.9855,1.7,0.7,31.6,0.2,10.6,8.2,0.1,2.3,11.3
Oct-1994,0.7669,1.8,5,67.4,0.4,39.8,12.7,0.2,0,3.4
Nov-1994,0.6437,0.1,0.4,58.5,0.1,44.1,21.6,0,1.2,6
Dec-1994,0.6653,4.1,6.1,93.5,0.7,64.6,68,0.1,21,53.4
Jan-1995,0.6334,1.4,5.7,68.9,1.1,47.1,60.6,7.2,42.7,95.5
Feb-1995,0.4564,1.4,31.3,184.4,2.8,52.3,56.4,2.4,68.9,151.6
Mar-1995,0.7819,7.7,96.5,304.4,0.1,119.9,75.3,1.2,35.6,87.6
Apr-1995,0.753,0.2,14.3,76.4,0.1,44.3,18.8,0,9.5,31
May-1995,0.8202,0,1.4,20.7,1,7.3,0.8,0,0,0.1
Jun-1995,0.3473,0,0.3,16.8,3.4,1.6,0,0.1,0,0
Jul-1995,-0.0951,0,0,3.9,0.5,1.3,0,0,0,0
Aug-1995,0.0784,0,0.1,2.5,0.2,2.5,0.8,0.2,0.2,0.8
Sep-1995,0.0392,0.1,0.3,7,0.5,8.3,4.5,0.5,13.6,23.9
Oct-1995,0.0161,0.6,2,65.7,0.1,11.2,5.7,0,0.4,11.7
Nov-1995,-0.4353,0.6,0.7,26.1,0,7.2,6.1,0,0.9,16.1
Dec-1995,-0.7109,0.5,2.6,86.6,0.4,55.6,82.4,2.1,34.8,102.3
Jan-1996,-0.7332,2.3,20.5,141.1,1.6,58.2,105.5,1.2,67.4,156.8
Feb-1996,-0.6252,12.6,205.8,283.1,6,113.8,134.9,4.3,113.9,147.4
Mar-1996,-0.8009,26,127.8,362.3,1.5,170.8,156.5,1.8,83.8,161.7
Apr-1996,-0.1866,0.8,28.5,151.6,0.1,103.2,43.5,0,5.6,27.1
May-1996,0.189,0.1,0.1,12.8,0.5,5.5,0,0,0.1,2.3
Jun-1996,0.2849,0.3,0.8,30.2,0.2,5.9,0.7,0.4,0.2,1.9
Jul-1996,0.2466,0.2,0.1,9.3,0.3,1.6,0,0.1,0,0
Aug-1996,0.5277,0,0.1,5.2,1.6,4.5,2.3,0.2,0.6,1.5
Sep-1996,0.7517,0.1,0.2,23.4,0.2,11,7.1,0.5,1.1,10.9
Oct-1996,0.7384,0.2,0.6,15.4,0.5,12.4,12.4,0.3,2.6,19
Nov-1996,0.9285,1,4.1,87.1,0.6,34.3,29.9,0,9.7,55.3
Dec-1996,0.997,1.3,4.9,123.4,1.1,118.7,64.2,0,6.9,52.5
Jan-1997,0.6594,2.9,31.7,133.1,0.2,78.3,62.2,2.9,59.4,140
Feb-1997,0.2149,0.3,5.8,94.9,1.2,34,50.7,1.9,82.5,127.6
Mar-1997,-0.0777,4.9,85.3,290.2,1.5,217.7,130.8,0.4,72,172.8
Apr-1997,-0.1866,3.8,12.4,163.5,0.6,97,35,0.7,16.9,37.5
May-1997,-0.4422,0.4,1.8,45.7,0.1,21,3.6,0,1.1,5.6
Jun-1997,-0.2771,0,0,11.6,0.4,2.1,0.6,0.2,0,0.6
Jul-1997,-0.5935,0,0,7.2,0.3,1.3,0.1,0.1,0,1.9
Aug-1997,-0.7452,0,0.4,10.8,1.3,1,0.6,1.4,0,3.5
Sep-1997,-1.1521,0,0,13.8,0.4,5.9,2.5,1.4,0.7,5.5
Oct-1997,-1.2479,1.7,3.3,66.6,0.5,42.9,11,0,1.7,8.7
Nov-1997,-1.2466,2.5,4.1,70,0,31.5,12.9,3.6,5,31.1
Dec-1997,-1.2664,0.3,1,51.3,0.6,28.9,37.9,4.9,16.6,56.1
Jan-1998,-1.3992,7.8,71.1,218.3,5.3,115.8,153.2,18,147.1,173.7
Feb-1998,-1.6753,40.5,307.3,373.8,3.9,137.3,171.2,5.6,79.4,84.8
Mar-1998,-1.4831,33.8,282.4,322.6,3,174.9,103.8,1,59.3,64.3
Apr-1998,-1.2719,2.5,93,254,0.3,88.1,24.5,0.3,1.7,3.1
May-1998,-1.0411,0.1,5.9,50.1,0.6,3.6,0.5,0,0,1
Jun-1998,-0.7922,0.2,1.6,19.6,1,6.4,1.7,0.3,0.1,0.4
Jul-1998,-0.1948,0.2,0.9,13.2,0.2,2,0.4,0,0,0.8
Aug-1998,-0.0214,0.2,0.5,15.1,1.3,2.8,3,0.1,1.8,1.8
Sep-1998,-0.1946,0.2,0.1,34.1,0.5,4.2,4.7,0.6,0,0.3
Oct-1998,-0.25,0.2,2.9,87,0.5,70.8,14.5,0,1.7,8.9
Nov-1998,-0.3144,20.3,3.8,64.7,0.9,63.9,14.3,0,0,1.7
Dec-1998,-0.6612,0.2,0,28,0.4,17.6,39.7,0.1,16.6,67.7
Jan-1999,-0.7073,15.5,125.8,296.9,6.4,164.6,113.2,4.9,55.2,84.4
Feb-1999,-0.7512,12.9,94.8,269.9,4.7,144.8,163.7,7.4,125.3,170
Mar-1999,-0.7736,10.4,119,315.2,3.9,176.1,108.9,2.9,59.3,87.6
Apr-1999,-0.2352,0.3,20,121.8,0.6,80.9,39.2,0,19.8,35.2
May-1999,0.4156,1,7.5,73.3,0.1,14.6,4.3,0,0,0.6
Jun-1999,0.7688,0,0.1,15.1,1.3,1.5,0.8,0.1,0,0
Jul-1999,0.9301,0,0.4,11.3,1.3,3.3,2.8,0.5,7.2,11.4
Aug-1999,0.8522,0,0.3,11.2,0.9,2.5,2,0.2,0,0.2
Sep-1999,0.8408,0.1,0.2,6.8,0.4,1.6,4.2,0.5,0.3,11.9
Oct-1999,0.919,0,0.7,45.8,0.8,79,20.9,0.2,1.7,9.1
Nov-1999,1.3342,3.1,3.9,68.6,0.2,69.6,50.3,0.6,7.7,32.1
Dec-1999,1.4944,1.1,5.2,84.3,0.5,61.3,53.2,0.8,5,32.6
Jan-2000,1.3773,1,25.7,103,2,60.3,64.5,0.4,34.8,109.3
Feb-2000,1.4015,44.4,143.8,237.8,1.4,91.6,78,1.7,58.4,130.4
Mar-2000,1.3959,16.7,117.4,221.1,0.9,101.5,79.6,0.3,27.9,62.3
Apr-2000,0.9474,4.8,47.6,148.6,0.2,57.6,32.8,0.5,11.6,32.4
May-2000,-0.0376,1.4,3.5,52.4,0.4,12.6,4.6,0.1,1.7,6.6
Jun-2000,-0.7922,0,0.6,20.6,0.6,5.8,1.5,0.4,0,1.1
Jul-2000,-1.2912,0,0.2,11.7,0.7,0.5,0,0.1,0.1,1.5
Aug-2000,-1.5813,0,0.1,8.8,0.2,1.2,0.3,0,0,4
Sep-2000,-1.6976,0,0.1,20.2,0.2,12.5,1.9,0.1,0.4,4.2
Oct-2000,-1.5235,3.2,3.9,26.9,0.1,14.1,6.7,0.1,2.2,10.6
Nov-2000,-1.3416,1.7,1.9,34.6,0,54.9,12,0.1,1.4,7.9
Dec-2000,-1.2747,0.2,2.9,70.2,0.8,93.9,69.6,0.9,27.4,92.8
