Date,Station,Grid.level
Jan-1960,14.6,9.350006104
Feb-1960,15.1,8.980003357
Mar-1960,15.2,9.620002747
Apr-1960,15.6,9.510002136
May-1960,14.8,9.86000061
Jun-1960,15.2,9.220001221
Jul-1960,14.5,9.660003662
Aug-1960,14.9,9.270004272
Sep-1960,15.2,8.340003967
Oct-1960,15.4,8.450004578
Nov-1960,14.7,8.960006714
Dec-1960,14.9,9.050003052
Jan-1961,14.2,8.61000061
Feb-1961,14.1,8.710006714
Mar-1961,14.1,8.470001221
Apr-1961,14.5,9.420005798
May-1961,14.9,9.530006409
Jun-1961,14.3,9.000007629
Jul-1961,14.7,8.880004883
Aug-1961,14.3,9.400001526
Sep-1961,14.2,8.480003357
Oct-1961,14.9,8.590003967
Nov-1961,14.9,8.240005493
Dec-1961,14.3,7.870002747
Jan-1962,14.5,8.400001526
Feb-1962,14.5,8.380004883
Mar-1962,13.9,8.500007629
Apr-1962,15.3,9.820007324
May-1962,15.5,9.370002747
Jun-1962,15.1,8.750007629
Jul-1962,15.7,9.030006409
Aug-1962,15.1,8.380004883
Sep-1962,15.8,8.470001221
Oct-1962,16.1,8.730003357
Nov-1962,15.9,9.300003052
Dec-1962,15.9,8.970001221
Jan-1963,16.1,9.750007629
Feb-1963,15.5,9.170005798
Mar-1963,15.2,9.920005798
Apr-1963,15.4,10.45000458
May-1963,14.9,10.02000427
Jun-1963,14.4,9.340003967
Jul-1963,14.4,8.670005798
Aug-1963,14,9.340003967
Sep-1963,14.1,8.140007019
Oct-1963,14.5,9.000007629
Nov-1963,14.7,8.300003052
Dec-1963,13.4,9.120002747
Jan-1964,14.1,8.040000916
Feb-1964,13.3,8.400001526
Mar-1964,13.4,9.090003967
Apr-1964,14.9,9.560005188
May-1964,14.8,8.690002441
Jun-1964,14.3,8.870002747
Jul-1964,14.3,8.880004883
Aug-1964,14.2,8.570007324
Sep-1964,14.4,8.86000061
Oct-1964,15,9.050003052
Nov-1964,15.2,8.790000916
Dec-1964,14.6,8.400001526
Jan-1965,14.7,8.920005798
Feb-1965,14.2,8.750007629
Mar-1965,14.5,9.980003357
Apr-1965,14.7,9.090003967
May-1965,14.8,9.160003662
Jun-1965,14.5,8.730003357
Jul-1965,14.2,9.060005188
Aug-1965,14.2,8.620002747
Sep-1965,14.3,8.790000916
Oct-1965,14.7,8.400001526
Nov-1965,14.7,8.420005798
Dec-1965,14.4,8.330001831
Jan-1966,14.5,8.540000916
Feb-1966,14.6,8.550003052
Mar-1966,14.7,9.130004883
Apr-1966,14.9,9.080001831
May-1966,15.1,9.080001831
Jun-1966,15.2,8.560005188
Jul-1966,15.8,8.300003052
Aug-1966,15.5,8.690002441
Sep-1966,15.4,8.380004883
Oct-1966,15.6,9.130004883
Nov-1966,15.9,8.970001221
Dec-1966,15.9,9.270004272
Jan-1967,15.9,9.100006104
Feb-1967,15.5,8.740005493
Mar-1967,16.2,9.800003052
Apr-1967,16.1,9.450004578
May-1967,15.7,9.210006714
Jun-1967,15.5,9.150001526
Jul-1967,15.6,9.160003662
Aug-1967,15.6,9.460006714
Sep-1967,15.5,8.150001526
Oct-1967,15.7,9.060005188
Nov-1967,15.5,9.720001221
Dec-1967,15.9,8.990005493
Jan-1968,15.7,9.750007629
Feb-1968,16.1,9.520004272
Mar-1968,15.8,10.19000244
Apr-1968,15.7,9.400001526
May-1968,15.4,8.910003662
Jun-1968,15,9.030006409
Jul-1968,14.8,9.160003662
Aug-1968,15.1,8.970001221
Sep-1968,15.1,8.530006409
Oct-1968,15,8.540000916
Nov-1968,15.4,9.780006409
Dec-1968,15.4,9.770004272
Jan-1969,15.6,10.00000763
Feb-1969,15,9.750007629
Mar-1969,15,10.05000305
Apr-1969,15.4,9.880004883
May-1969,15.6,10.02000427
Jun-1969,15.6,9.150001526
Jul-1969,15.8,8.030006409
Aug-1969,15.7,9.450004578
Sep-1969,15.6,8.210006714
Oct-1969,15.5,9.060005188
Nov-1969,15.5,9.320007324
Dec-1969,15.2,9.020004272
Jan-1970,15.6,9.510002136
Feb-1970,15.5,9.040000916
Mar-1970,15.6,9.990005493
Apr-1970,15.6,10.45000458
May-1970,15.7,9.950004578
